Código	Produto	Tipo	Preço Unitário	Quantidade	Emissão	Vencimento	Taxa	ValorLiquido	Liquidado?	Lote	Antecipar?
000000000	BANCO BMG DIRETO	CDB			10/07/2020	10/07/2030	8,71%	R$ 30.790,22	FALSE	5	FALSE
000000000	BANCO BMG DIRETO	CDB			17/09/2020	17/09/2030	9,95%	R$ 16.088,24	FALSE	5	FALSE
000000000	BANCO BMG DIRETO	CDB			23/11/2020	23/11/2027	10,44	R$ 8.099,68	FALSE	2	FALSE
000000000	BANCO BMG DIRETO	CDB			23/11/2020	15/12/2027	IPCA + 5.50%	R$ 34.964,00	FALSE	2	FALSE
000000000	BANCO BMG DIRETO	CDB			23/02/2021	23/02/2027	10,35%	R$ 7.891,55	FALSE	2	FALSE
000000000	BANCO BMG DIRETO	CDB			08/04/2024	09/04/2029	123% CDI	R$ 7.583,08	FALSE	4	FALSE
000000000	BANCO BMG DIRETO	CDB			06/05/2024	15/05/2029	IPCA + 8,12%	R$ 19.497,96	FALSE	4	FALSE
000000000	BANCO BMG DIRETO	CDB			22/05/2024	15/06/2029	IPCA + 8,01%	R$ 5.495,58	FALSE	4	FALSE
000000000	BANCO BMG DIRETO	CDB			03/06/2024	15/06/2029	IPCA + 8,13%	R$ 6.237,47	FALSE	4	FALSE
000000000	BANCO BMG DIRETO	CDB			06/06/2024	16/06/2028	IPCA + 8,22%	R$ 1.247,41	FALSE	3	FALSE
CDB323NM617	BANCO PINE S/A	CDB	R$ 1.538,48	1	21/08/2023	21/08/2026	123,00% do CDI	R$ 1.473,04	FALSE	2	FALSE
CDB420CE6FN	BANCO PAN S.A.	CDB	R$ 1.858,67	20	26/11/2020	26/11/2026	IPCA + 5,00%	R$ 34.597,37	FALSE	2	FALSE
24L03534049	BANCO PINE S/A	LCA	R$ 1.232,74	9	30/12/2024	30/12/2026	101,00% do CDI	R$ 11.094,63	FALSE	2	TRUE
25A01535493	BANCO PINE S/A	LCA	R$ 1.214,10	8	06/01/2025	06/01/2027	101,00% do CDI	R$ 9.712,80	FALSE	2	FALSE
25A01713044	BANCO PINE S/A	LCA	R$ 1.223,33	17	07/01/2025	07/01/2027	101,00% do CDI	R$ 20.796,55	FALSE	2	TRUE
25B02782788	BANCO PINE S/A	LCA	R$ 1.197,60	4	19/02/2025	19/02/2027	14,20% a.a.	R$ 4.790,39	FALSE	2	FALSE
25D01802186	BANCO PINE S/A	LCA	R$ 1.177,69	6	04/04/2025	05/04/2027	101,00% do CDI	R$ 7.066,13	FALSE	2	TRUE
24G01082733	BANCO INTER S.A	LCI	R$ 0,01	127129	01/07/2024	16/06/2027	102,00% do CDI	R$ 1.641,68	FALSE	2	TRUE
CDB220ESY72	BANCO PINE S/A	CDB	R$ 1.601,77	6	25/06/2020	24/06/2027	17,10% a.a.	R$ 9.314,66	FALSE	2	FALSE
