Código	Produto	Tipo	Valor Investido	Emissão	Vencimento	Dias Corridos	Dias Úteis	Taxa	Tipo Indexador	Preço Unitário	Quantidade	Valor Líquido	Rentabilidade Líquida	Rentabilidade Média	Liquidado?
XPTO000001	BANCO ABC-BRASIL S.A.	LCA	R$ 45.000,00	18/11/2015	18/11/2016	366	263	13,95% a.a.	PRÉ-FIXADO	R$ 4.500,00	10	R$ 47.398,48	5,329955555556	0,020265991	TRUE
XPTO000002	MODAL S\A	CDB	R$ 39.000,00	12/05/2015	11/05/2017	730	523	120,00% do CDI	PÓS-FIXADO	R$ 3.900,00	10	R$ 50.912,79	30,545615384615	0,058404618	TRUE
XPTO000003	BANCO INTER	LCI	R$ 8.000,00	08/12/2016	06/12/2017	363	260	96,00% do CDI	PÓS-FIXADO	R$ 800,00	10	R$ 8.795,42	9,942750000000	0,038241346	TRUE
XPTO000004	BANCO INTER	LCI	R$ 3.000,00	06/01/2017	02/01/2018	361	258	96,00% do CDI	PÓS-FIXADO	R$ 300,00	10	R$ 3.278,91	9,297000000000	0,036034884	TRUE
XPTO000005	BANCO ABC-BRASIL S.A.	LCI	R$ 3.000,00	20/05/2016	21/05/2018	731	522	94,00% do CDI	PÓS-FIXADO	R$ 300,00	10	R$ 3.620,29	20,676333333333	0,039609834	TRUE
XPTO000006	BANCO PINE S.A	CDB	R$ 17.000,00	03/07/2015	03/07/2018	1096	783	IPCA + 8,00%	INFLAÇÃO	R$ 1.700,00	10	R$ 23.721,61	39,538882352941	0,050496657	TRUE
XPTO000007	BANCO PARANA BANCO S.A	CDB	R$ 8.000,00	31/03/2016	02/10/2018	915	654	115,50% do CDI	PÓS-FIXADO	R$ 800,00	10	R$ 10.186,56	27,332000000000	0,041792049	TRUE
XPTO000008	BANCO PINE S.A	CDB	R$ 30.000,00	28/11/2016	13/06/2019	927	664	117,00% do CDI	PÓS-FIXADO	R$ 3.000,00	10	R$ 36.560,60	21,868666666667	0,032934739	TRUE
XPTO000009	BANCO B.M.G. S.A	CDB	R$ 17.000,00	28/11/2016	28/11/2019	1095	784	IPCA + 7,50%	INFLAÇÃO	R$ 1.700,00	10	R$ 21.034,53	23,732529411765	0,030271083	TRUE
XPTO000010	BANCO B.M.G. S.A	LCA	R$ 14.150,00	02/12/2019	25/05/2020	175	126	104,00% do CDI	PÓS-FIXADO	R$ 1.415,00	10	R$ 14.424,03	1,936607773852	0,015369903	TRUE
